年度,開催回,商品,約定日,約定総量(kWh),約定価格(円/kWh),約定最高価格(円/kWh),約定最低価格(円/kWh),入札会員数,約定会員数,売り入札量(kWh),買い入札量(kWh)
2017,通年,非FIT(再エネ指定なし),-,-,-,-,-,-,-,-,-
2017,通年,非FIT(再エネ指定),-,-,-,-,-,-,-,-,-
2017,通年,FIT,2018/5/18,5155738,1.3,4,1.3,26,26,-,-
