年度,開催回,商品,約定日,約定総量(kWh),約定価格(円/kWh),約定最高価格(円/kWh),約定最低価格(円/kWh),入札会員数,約定会員数,売り入札量(kWh),買い入札量(kWh)
2020,4,非FIT(再エネ指定なし),2021/5/12,3064717894,1,-,-,21,19,3064717894,9269649878
2020,4,非FIT(再エネ指定),2021/5/13,2276086362,0.9,-,-,20,17,3518773193,6666969266
2020,4,FIT,2021/5/14,350080634,1.3,1.5,1.3,76,76,98264559112,350080634
2020,3,非FIT(再エネ指定なし),2021/2/9,805187831,1.2,-,-,22,12,-,-
2020,3,非FIT(再エネ指定),2021/2/10,10569550414,1.2,-,-,23,20,-,-
2020,3,FIT,2021/2/12,445634238,1.3,1.5,1.3,60,60,-,-
2020,2,非FIT(再エネ指定なし),2020/11/11,1246802451,1.1,-,-,32,14,-,-
2020,2,非FIT(再エネ指定),2020/11/12,630735457,1.2,-,-,34,18,-,-
2020,2,FIT,2020/11/13,508815437,1.3,4,1.3,59,59,-,-
2020,1,非FIT(再エネ指定なし),-,-,-,-,-,-,-,-,-
2020,1,非FIT(再エネ指定),-,-,-,-,-,-,-,-,-
2020,1,FIT,2020/8/21,151173370,1.3,1.4,1.3,33,33,-,-
