年度,開催回,商品,約定日,約定総量(kWh),約定価格(円/kWh),約定最高価格(円/kWh),約定最低価格(円/kWh),入札会員数,約定会員数,売り入札量(kWh),買い入札量(kWh)
2019,4,非FIT(再エネ指定なし),-,-,-,-,-,-,-,-,-
2019,4,非FIT(再エネ指定),-,-,-,-,-,-,-,-,-
2019,4,FIT,2020/5/15,63300355,1.3,2,1.3,36,36,-,-
2019,3,非FIT(再エネ指定なし),-,-,-,-,-,-,-,-,-
2019,3,非FIT(再エネ指定),-,-,-,-,-,-,-,-,-
2019,3,FIT,2020/2/7,84674694,1.3,2,1.3,32,32,-,-
2019,2,非FIT(再エネ指定なし),-,-,-,-,-,-,-,-,-
2019,2,非FIT(再エネ指定),-,-,-,-,-,-,-,-,-
2019,2,FIT,2019/11/8,186640635,1.3,1.5,1.3,28,28,-,-
2019,1,非FIT(再エネ指定なし),-,-,-,-,-,-,-,-,-
2019,1,非FIT(再エネ指定),-,-,-,-,-,-,-,-,-
2019,1,FIT,2019/8/9,106376433,1.3,2,1.3,20,20,-,-
