年度,開催回,商品,約定日,約定総量(kWh),約定価格(円/kWh),約定最高価格(円/kWh),約定最低価格(円/kWh),入札会員数,約定会員数,売り入札量(kWh),買い入札量(kWh)
2018,4,非FIT(再エネ指定なし),-,-,-,-,-,-,-,-,-
2018,4,非FIT(再エネ指定),-,-,-,-,-,-,-,-,-
2018,4,FIT,2019/5/17,3500555,1.3,1.4,1.3,18,18,-,-
2018,3,非FIT(再エネ指定なし),-,-,-,-,-,-,-,-,-
2018,3,非FIT(再エネ指定),-,-,-,-,-,-,-,-,-
2018,3,FIT,2019/3/1,8557640,1.3,4,1.3,40,40,-,-
2018,2,非FIT(再エネ指定なし),-,-,-,-,-,-,-,-,-
2018,2,非FIT(再エネ指定),-,-,-,-,-,-,-,-,-
2018,2,FIT,2018/11/9,21020374,1.3,1.4,1.3,9,9,-,-
2018,1,非FIT(再エネ指定なし),-,-,-,-,-,-,-,-,-
2018,1,非FIT(再エネ指定),-,-,-,-,-,-,-,-,-
2018,1,FIT,2018/8/10,2241311,1.3,4,1.3,7,7,-,-
