年度,開催回,商品,約定日,約定総量(kWh),約定価格(円/kWh),約定最高価格(円/kWh),約定最低価格(円/kWh),入札会員数,約定会員数,売り入札量(kWh),買い入札量(kWh)
2021,4,非FIT(再エネ指定なし),2022/5/11,320400000,0.6,-,-,8,8,21991270596,320400000
2021,4,非FIT(再エネ指定),2022/5/12,35095886,0.6,-,-,22,21,16603675785,35095886
2021,4,FIT,2022/5/13,2139067723,0.3,2,0.3,136,136,108175290075,2139067723
2021,3,非FIT(再エネ指定なし),2022/2/8,2256578219,0.6,-,-,5,5,14754528146,2256578219
2021,3,非FIT(再エネ指定),2022/2/9,2825123103,0.6,-,-,33,33,15408485605,2825123103
2021,3,FIT,2022/2/10,1340762310,0.3,2,0.3,122,122,83551269235,1340762310
2021,2,非FIT(再エネ指定なし),2021/11/24,3129944302,0.6,-,-,7,7,10062724291,3129944302
2021,2,非FIT(再エネ指定),2021/11/25,1845636348,0.6,-,-,39,39,11479874868,1845636348
2021,2,FIT,2021/11/26,1929287096,0.33,1.6,0.3,118,118,55954364497,1929287096
2021,1,非FIT(再エネ指定なし),2021/8/26,416692142,0.7,-,-,19,11,5081011244,3911947878
2021,1,非FIT(再エネ指定),2021/8/27,1744483697,0.6,-,-,51,49,3771161985,3934655830
2021,1,FIT,-,-,-,-,-,-,-,-,-
