年度,開催回,商品,約定日,約定総量(kWh),約定価格(円/kWh),約定最高価格(円/kWh),約定最低価格(円/kWh),入札会員数,約定会員数,売り入札量(kWh),買い入札量(kWh)
2024,4,非FIT(再エネ指定なし),2025/5/21,258221948,1.3,-,-,34,33,258221948,6211888024
2024,4,非FIT(再エネ指定),2025/5/22,395045462,1.3,-,-,47,46,395045462,5813669201
2024,4,FIT,2025/5/23,19067949693,0.67,4,0.4,279,279,89128430200,19067949693
2024,3,非FIT(再エネ指定なし),2025/2/26,65559350,1.3,-,-,18,9,65559350,5140898822
2024,3,非FIT(再エネ指定),2025/2/27,80795986,1.3,-,-,41,30,80795986,5594794520
2024,3,FIT,2025/2/28,15342989958,0.4,1,0.4,259,259,75226502872,15342989958
2024,2,非FIT(再エネ指定なし),2024/11/27,134855094,0.6,-,-,11,11,1240007966,134855094
2024,2,非FIT(再エネ指定),2024/11/28,1166278083,0.6,-,-,33,33,1773935296,1166278083
2024,2,FIT,2024/11/29,11647557628,0.4,0.6,0.4,241,241,50983365226,11647557628
2024,1,非FIT(再エネ指定なし),2024/8/28,262301428,0.6,-,-,11,11,16561021268,262301428
2024,1,非FIT(再エネ指定),2024/8/29,1731744234,0.6,-,-,35,35,4004139522,1731744234
2024,1,FIT,2024/8/30,14378652737,0.4,0.61,0.4,243,243,30087987828,14378652737
