年度,開催回,商品,約定日,約定総量(kWh),約定価格(円/kWh),約定最高価格(円/kWh),約定最低価格(円/kWh),入札会員数,約定会員数,売り入札量(kWh),買い入札量(kWh)
2022,4,非FIT(再エネ指定なし),2023/5/23,1204474434,1.30,-,-,16,14,1204474434,16999129962
2022,4,非FIT(再エネ指定),2023/5/24,853962565,1.30,-,-,32,27,853962565,16239133184
2022,4,FIT,2023/5/25,4370356679,0.30,4.00,0.30,208,208,108588704558,4370356679
2022,3,非FIT(再エネ指定なし),2023/2/24,136001186,1.30,-,-,16,5,136001186,18180886316
2022,3,非FIT(再エネ指定),2023/2/27,1836103,1.30,-,-,31,15,1836103,18294456219
2022,3,FIT,2023/2/28,5393865771,0.30,0.80,0.30,203,203,86996062058,5393865771
2022,2,非FIT(再エネ指定なし),2022/11/28,2157383303,0.60,-,-,4,4,2157383303,7000000000
2022,2,非FIT(再エネ指定),2022/11/29,3565550050,0.60,-,-,16,15,5148903290,10010752219
2022,2,FIT,2022/11/30,3293362675,0.30,0.50,0.30,167,167,57658748234,3293362675
2022,1,非FIT(再エネ指定なし),2022/8/29,4361000,0.60,-,-,6,6,9660328011,4361000
2022,1,非FIT(再エネ指定),2022/8/30,315031034,0.60,-,-,24,24,4667386556,315031034
2022,1,FIT,2022/8/31,3258642201,0.30,1.00,0.30,158,158,26483949244,3258642201
