年度,開催回,商品,約定日,約定総量(kWh),約定価格(円/kWh),約定最高価格(円/kWh),約定最低価格(円/kWh),入札会員数,約定会員数,売り入札量(kWh),買い入札量(kWh)
2026,1,非FIT(再エネ指定なし),2026/8/27,114830318,1.20,-,-,26,9,199095989,11151543523
2026,1,非FIT(再エネ指定),2026/8/28,1142504198,1.21,-,-,47,23,1981661673,12260112693
2026,1,FIT,2026/8/31,-,-,-,-,-,-,-,-
