indicator_id,region,metric_kind,scope,key,old_value,old_at,new_value,new_at,abs_diff,rel_diff_pct
ember-share-wind-cn,cn,share-wind,calendar_year_mean,2025,11.0333,n=12,11.0258,n=12,0.0076,0.069
ember-share-wind-cn,cn,share-wind,period_min,all,2.31,2015-08,2.31,2015-08,0.0,0.0
ember-share-wind-cn,cn,share-wind,period_max,all,14.06,2025-11,13.96,2025-11,0.1,0.711
ember-share-wind-de,de,share-wind,latest_common_month,2026-06,20.31,,20.308,,0.002,0.01
ember-share-wind-de,de,share-wind,calendar_year_mean,2015,13.06,n=12,13.0592,n=12,0.0008,0.006
ember-share-wind-de,de,share-wind,calendar_year_mean,2016,13.1858,n=12,13.1861,n=12,0.0003,0.002
ember-share-wind-de,de,share-wind,calendar_year_mean,2017,17.4575,n=12,17.4576,n=12,0.0001,0.0
ember-share-wind-de,de,share-wind,calendar_year_mean,2018,18.5083,n=12,18.5091,n=12,0.0007,0.004
ember-share-wind-de,de,share-wind,calendar_year_mean,2019,21.3292,n=12,21.3287,n=12,0.0004,0.002
ember-share-wind-de,de,share-wind,calendar_year_mean,2020,23.2933,n=12,23.2935,n=12,0.0002,0.001
ember-share-wind-de,de,share-wind,calendar_year_mean,2021,20.1075,n=12,20.108,n=12,0.0005,0.002
ember-share-wind-de,de,share-wind,calendar_year_mean,2022,22.0608,n=12,22.0605,n=12,0.0003,0.002
ember-share-wind-de,de,share-wind,calendar_year_mean,2023,27.4508,n=12,27.4494,n=12,0.0014,0.005
ember-share-wind-de,de,share-wind,calendar_year_mean,2024,28.5792,n=12,28.5793,n=12,0.0001,0.0
ember-share-wind-de,de,share-wind,calendar_year_mean,2025,27.4742,n=12,27.4734,n=12,0.0007,0.003
ember-share-wind-de,de,share-wind,period_min,all,7.64,2015-10,7.637,2015-10,0.003,0.039
ember-share-wind-de,de,share-wind,period_max,all,40.26,2023-12,40.259,2023-12,0.001,0.002
ember-share-wind-gb,gb,share-wind,latest_common_month,2026-06,31.87,,30.451,,1.419,4.452
ember-share-wind-gb,gb,share-wind,calendar_year_mean,2015,13.2017,n=12,10.8911,n=12,2.3106,17.502
ember-share-wind-gb,gb,share-wind,calendar_year_mean,2016,12.3208,n=12,10.5528,n=12,1.768,14.35
ember-share-wind-gb,gb,share-wind,calendar_year_mean,2017,16.6442,n=12,15.4276,n=12,1.2166,7.309
ember-share-wind-gb,gb,share-wind,calendar_year_mean,2018,19.1517,n=12,17.2848,n=12,1.8668,9.748
ember-share-wind-gb,gb,share-wind,calendar_year_mean,2019,22.6242,n=12,20.5188,n=12,2.1053,9.306
ember-share-wind-gb,gb,share-wind,calendar_year_mean,2020,27.9075,n=12,24.4627,n=12,3.4448,12.344
ember-share-wind-gb,gb,share-wind,calendar_year_mean,2021,23.9567,n=12,22.1348,n=12,1.8219,7.605
ember-share-wind-gb,gb,share-wind,calendar_year_mean,2022,28.2433,n=12,26.4767,n=12,1.7666,6.255
ember-share-wind-gb,gb,share-wind,calendar_year_mean,2023,32.6058,n=12,29.5866,n=12,3.0192,9.26
ember-share-wind-gb,gb,share-wind,calendar_year_mean,2024,34.1925,n=12,31.6141,n=12,2.5784,7.541
ember-share-wind-gb,gb,share-wind,calendar_year_mean,2025,34.2933,n=12,31.6907,n=12,2.6026,7.589
ember-share-wind-gb,gb,share-wind,period_min,all,7.72,2016-06,6.646,2016-06,1.074,13.912
ember-share-wind-gb,gb,share-wind,period_max,all,45.23,2022-02,42.128,2022-02,3.102,6.858
ember-share-wind-jp,jp,share-wind,latest_common_month,2026-06,,,1.208,,,
ember-share-wind-jp,jp,share-wind,calendar_year_mean,2018,0.7056,n=9,0.7053,n=9,0.0002,0.031
ember-share-wind-jp,jp,share-wind,calendar_year_mean,2019,0.8175,n=12,0.8183,n=12,0.0008,0.102
ember-share-wind-jp,jp,share-wind,calendar_year_mean,2020,0.9483,n=12,0.9484,n=12,0.0001,0.009
ember-share-wind-jp,jp,share-wind,calendar_year_mean,2021,0.9642,n=12,0.9635,n=12,0.0007,0.069
ember-share-wind-jp,jp,share-wind,calendar_year_mean,2022,0.9683,n=12,0.9698,n=12,0.0015,0.155
ember-share-wind-jp,jp,share-wind,calendar_year_mean,2023,1.1192,n=12,1.1182,n=12,0.0009,0.082
ember-share-wind-jp,jp,share-wind,calendar_year_mean,2024,1.23,n=12,1.2312,n=12,0.0012,0.102
ember-share-wind-jp,jp,share-wind,calendar_year_mean,2025,1.3633,n=12,1.3639,n=12,0.0006,0.043
ember-share-wind-jp,jp,share-wind,period_min,all,0.43,2018-07,0.429,2018-07,0.001,0.233
ember-share-wind-jp,jp,share-wind,period_max,all,2.49,2026-03,2.488,2026-03,0.002,0.08
ember-share-wind-us,us,share-wind,latest_common_month,2026-06,10.29,,10.071,,0.219,2.128
ember-share-wind-us,us,share-wind,calendar_year_mean,2015,4.76,n=12,4.7608,n=12,0.0008,0.016
ember-share-wind-us,us,share-wind,calendar_year_mean,2016,5.6817,n=12,5.68,n=12,0.0017,0.029
ember-share-wind-us,us,share-wind,calendar_year_mean,2017,6.4108,n=12,6.4112,n=12,0.0003,0.005
ember-share-wind-us,us,share-wind,calendar_year_mean,2018,6.6025,n=12,6.6012,n=12,0.0013,0.02
ember-share-wind-us,us,share-wind,calendar_year_mean,2019,7.2275,n=12,7.2271,n=12,0.0004,0.006
ember-share-wind-us,us,share-wind,calendar_year_mean,2020,8.5192,n=12,8.5197,n=12,0.0005,0.006
ember-share-wind-us,us,share-wind,calendar_year_mean,2021,9.3142,n=12,9.3136,n=12,0.0006,0.006
ember-share-wind-us,us,share-wind,calendar_year_mean,2022,10.3592,n=12,10.3603,n=12,0.0011,0.01
ember-share-wind-us,us,share-wind,calendar_year_mean,2023,10.1325,n=12,10.1327,n=12,0.0002,0.002
ember-share-wind-us,us,share-wind,calendar_year_mean,2024,10.5367,n=12,10.5368,n=12,0.0002,0.002
ember-share-wind-us,us,share-wind,calendar_year_mean,2025,10.48,n=12,10.4797,n=12,0.0003,0.002
ember-share-wind-us,us,share-wind,period_min,all,0.12,2001-01,0.117,2001-01,0.003,2.5
ember-share-wind-us,us,share-wind,period_max,all,14.93,2022-04,14.926,2022-04,0.004,0.027
