国債金利情報 (令和8年6月),,,,,,,,,,,,,,,(単位 : %)
基準日,1年,2年,3年,4年,5年,6年,7年,8年,9年,10年,15年,20年,25年,30年,40年
R8.6.1,1.123,1.4,1.558,1.775,1.948,2.094,2.243,2.397,2.538,2.682,3.225,3.567,3.871,3.863,3.8
R8.6.2,1.114,1.38,1.522,1.722,1.889,2.019,2.157,2.31,2.447,2.577,3.141,3.493,3.801,3.81,3.742
R8.6.3,1.126,1.401,1.56,1.767,1.943,2.077,2.219,2.373,2.508,2.645,3.183,3.521,3.817,3.817,3.748
R8.6.4,1.148,1.417,1.579,1.787,1.966,2.105,2.242,2.395,2.535,2.671,3.225,3.554,3.835,3.833,3.749
R8.6.5,1.14,1.412,1.574,1.778,1.955,2.096,2.233,2.391,2.532,2.669,3.222,3.551,3.838,3.841,3.753
R8.6.8,1.144,1.42,1.588,1.793,1.978,2.128,2.274,2.432,2.575,2.715,3.269,3.604,3.878,3.876,3.789
R8.6.9,1.146,1.42,1.582,1.784,1.962,2.101,2.242,2.398,2.537,2.669,3.217,3.543,3.824,3.823,3.759
R8.6.10,1.147,1.426,1.594,1.796,1.971,2.112,2.257,2.412,2.549,2.681,3.218,3.538,3.806,3.811,3.739
R8.6.11,1.149,1.427,1.592,1.792,1.963,2.108,2.258,2.411,2.551,2.682,3.23,3.554,3.821,3.823,3.774
R8.6.12,1.15,1.417,1.579,1.772,1.938,2.077,2.218,2.373,2.511,2.643,3.189,3.508,3.77,3.767,3.713
R8.6.15,1.141,1.409,1.556,1.743,1.901,2.039,2.175,2.322,2.46,2.589,3.143,3.461,3.73,3.725,3.674
R8.6.16,1.147,1.414,1.585,1.783,1.945,2.084,2.227,2.382,2.522,2.655,3.206,3.52,3.763,3.747,3.692
R8.6.17,1.139,1.398,1.552,1.745,1.897,2.034,2.182,2.335,2.479,2.613,3.17,3.49,3.741,3.709,3.654
R8.6.18,1.146,1.4,1.553,1.746,1.898,2.045,2.193,2.353,2.497,2.628,3.19,3.512,3.765,3.737,3.68
R8.6.19,1.153,1.409,1.558,1.77,1.928,2.073,2.222,2.385,2.524,2.656,3.216,3.549,3.806,3.786,3.741
R8.6.22,1.168,1.415,1.558,1.781,1.946,2.086,2.241,2.407,2.546,2.677,3.231,3.563,3.814,3.797,3.767
R8.6.23,1.17,1.426,1.57,1.792,1.957,2.091,2.245,2.412,2.551,2.683,3.229,3.554,3.807,3.79,3.76
R8.6.24,1.172,1.432,1.572,1.788,1.95,2.083,2.238,2.4,2.539,2.674,3.225,3.552,3.808,3.808,3.776
R8.6.25,1.175,1.421,1.556,1.765,1.923,2.055,2.203,2.365,2.504,2.637,3.196,3.526,3.777,3.781,3.724
R8.6.26,1.175,1.409,1.553,1.755,1.915,2.039,2.181,2.344,2.482,2.611,3.176,3.506,3.758,3.759,3.694
,,,,,,,,,,,,,,,
※最新のcsvデータがダウンロードできない場合、ご利用のブラウザにおいてキャッシュの削除を実施し再度ダウンロードください。,,,,,,,,,,,,,,,
