国債金利情報 (令和8年5月),,,,,,,,,,,,,,,(単位 : %)
基準日,1年,2年,3年,4年,5年,6年,7年,8年,9年,10年,15年,20年,25年,30年,40年
R8.5.1,1.073,1.385,1.542,1.739,1.888,2.017,2.133,2.266,2.383,2.507,3.051,3.381,3.673,3.706,3.73
R8.5.7,1.075,1.372,1.532,1.722,1.866,1.992,2.109,2.242,2.364,2.485,3.029,3.374,3.675,3.714,3.747
R8.5.8,1.077,1.378,1.54,1.732,1.875,1.997,2.114,2.247,2.369,2.485,3.027,3.369,3.67,3.706,3.739
R8.5.11,1.093,1.395,1.568,1.76,1.908,2.03,2.15,2.282,2.405,2.527,3.068,3.411,3.719,3.741,3.774
R8.5.12,1.095,1.401,1.582,1.78,1.932,2.052,2.174,2.305,2.427,2.546,3.099,3.445,3.755,3.78,3.815
R8.5.13,1.097,1.401,1.581,1.789,1.945,2.078,2.207,2.343,2.467,2.587,3.128,3.47,3.777,3.783,3.806
R8.5.14,1.11,1.407,1.59,1.8,1.962,2.101,2.231,2.37,2.502,2.628,3.179,3.527,3.845,3.852,3.868
R8.5.15,1.112,1.413,1.615,1.837,2,2.144,2.285,2.426,2.559,2.691,3.256,3.603,3.917,3.922,3.916
R8.5.18,1.128,1.431,1.628,1.849,2.015,2.163,2.308,2.454,2.594,2.729,3.306,3.665,3.979,4,4.006
R8.5.19,1.135,1.452,1.654,1.878,2.051,2.208,2.359,2.507,2.646,2.783,3.36,3.717,4.028,4.043,4.043
R8.5.20,1.138,1.464,1.663,1.889,2.058,2.207,2.353,2.499,2.637,2.77,3.343,3.685,3.985,4,3.99
R8.5.21,1.14,1.453,1.642,1.865,2.031,2.178,2.323,2.469,2.612,2.748,3.312,3.646,3.933,3.939,3.933
R8.5.22,1.132,1.443,1.633,1.858,2.026,2.18,2.324,2.469,2.613,2.749,3.308,3.644,3.917,3.931,3.921
R8.5.25,1.111,1.42,1.598,1.814,1.985,2.126,2.264,2.409,2.553,2.686,3.237,3.577,3.85,3.876,3.87
R8.5.26,1.113,1.421,1.596,1.824,1.995,2.146,2.292,2.436,2.58,2.713,3.259,3.589,3.865,3.866,3.836
R8.5.27,1.105,1.399,1.563,1.791,1.963,2.11,2.255,2.4,2.549,2.687,3.23,3.569,3.861,3.856,3.796
R8.5.28,1.096,1.366,1.536,1.763,1.94,2.101,2.247,2.401,2.553,2.692,3.247,3.594,3.895,3.896,3.814
,,,,,,,,,,,,,,,
※最新のcsvデータがダウンロードできない場合、ご利用のブラウザにおいてキャッシュの削除を実施し再度ダウンロードください。,,,,,,,,,,,,,,,
