国債金利情報 (令和8年8月),,,,,,,,,,,,,,,(単位 : %)
基準日,1年,2年,3年,4年,5年,6年,7年,8年,9年,10年,15年,20年,25年,30年,40年
R8.8.3,1.287,1.562,1.714,1.933,2.1,2.241,2.389,2.554,2.689,2.824,3.402,3.695,3.994,3.982,3.948
R8.8.4,1.298,1.568,1.724,1.931,2.096,2.241,2.395,2.563,2.702,2.848,3.414,3.71,4,3.99,3.962
R8.8.5,1.301,1.569,1.714,1.912,2.068,2.207,2.353,2.525,2.668,2.813,3.382,3.698,3.983,3.966,3.953
R8.8.6,1.311,1.565,1.709,1.893,2.044,2.176,2.319,2.49,2.629,2.773,3.34,3.659,3.945,3.919,3.912
R8.8.7,1.355,1.611,1.761,1.946,2.091,2.222,2.365,2.53,2.664,2.804,3.365,3.671,3.955,3.925,3.915
,,,,,,,,,,,,,,,
※最新のcsvデータがダウンロードできない場合、ご利用のブラウザにおいてキャッシュの削除を実施し再度ダウンロードください。,,,,,,,,,,,,,,,
